,OverallQual,GrLivArea,GarageArea,TotalBsmtSF,MasVnrType,BsmtQual,GarageFinish,SaleCondition
43,5,938,308,938,None,Gd,Unf,Normal
44,5,1150,300,1150,None,TA,RFn,Normal
45,9,1752,576,1752,BrkFace,Ex,RFn,Normal
46,7,2149,670,1434,None,Ex,RFn,Abnorml
47,8,1656,826,1656,None,Gd,RFn,Normal
48,4,1452,0,736,None,TA,Unf,Partial
49,5,955,386,955,None,TA,Unf,Normal
50,6,1470,388,794,None,Gd,Fin,Normal
51,6,1176,528,816,None,TA,Unf,Normal
52,5,816,516,816,None,Gd,Unf,Normal
53,9,1842,894,1842,None,Ex,Fin,Normal
54,5,1360,572,384,None,TA,Unf,Normal
55,6,1425,576,1425,BrkFace,TA,RFn,Normal
56,8,1739,480,970,BrkFace,Gd,Fin,Abnorml
57,7,1720,565,860,None,Gd,RFn,Normal
58,10,2945,641,1410,BrkFace,Ex,Fin,Partial
59,5,780,352,780,None,TA,Unf,Normal
60,6,1158,576,1158,None,Gd,Unf,Partial
61,5,1111,288,530,None,TA,Unf,Normal
62,8,1370,484,1370,Stone,Gd,RFn,Normal
63,7,1710,480,576,None,TA,Unf,Normal
64,7,2034,645,1057,BrkFace,Gd,RFn,Normal
65,8,2473,852,1143,BrkFace,Ex,RFn,Normal
66,7,2207,576,1947,BrkFace,Gd,RFn,Normal
67,7,1479,558,1453,BrkFace,Gd,RFn,Normal
68,4,747,220,747,None,TA,Unf,Normal
69,7,2287,667,1304,None,TA,Fin,Normal
70,7,2223,516,2223,BrkFace,Gd,Fin,Normal
71,4,845,360,845,None,TA,Unf,Normal
72,7,1718,427,832,BrkFace,Gd,Fin,Normal
73,5,1086,490,1086,BrkFace,TA,Unf,Normal
74,3,1605,379,840,None,Fa,Unf,Normal
75,4,988,297,462,None,Gd,Unf,Normal
76,4,952,283,952,None,TA,Unf,Normal
77,5,1285,240,672,None,TA,Unf,Normal
78,4,1768,0,1768,None,TA,Unf,Normal
79,5,1230,440,440,None,TA,Unf,Normal
80,6,2142,509,896,BrkFace,Gd,Fin,Normal
81,6,1337,405,1237,BrkFace,Ex,Fin,Normal
82,8,1563,758,1563,Stone,Gd,RFn,Normal
83,5,1065,461,1065,BrkCmn,TA,Unf,Normal
84,7,1474,400,384,BrkFace,Gd,Fin,Normal
85,8,2417,462,1288,BrkFace,Gd,Unf,Normal
86,6,1560,400,684,None,Gd,Fin,Normal
87,6,1224,528,612,Stone,Gd,RFn,Partial
88,3,1526,0,1013,None,TA,Unf,Abnorml
89,4,990,0,990,None,Gd,Unf,Normal
90,4,1040,420,0,None,TA,Unf,Normal
91,5,1235,480,1235,BrkCmn,TA,Unf,Abnorml
92,5,964,432,876,None,Gd,Unf,Normal
93,6,2291,506,1214,None,TA,Unf,Normal
94,6,1786,684,824,None,Gd,RFn,Normal
95,6,1470,420,680,BrkFace,Gd,Fin,Normal
96,7,1588,472,1588,BrkFace,Gd,RFn,Normal
97,4,960,432,960,BrkFace,TA,Fin,Normal
98,5,835,366,458,None,TA,Unf,Abnorml
99,4,1225,0,950,None,TA,Unf,Normal
100,6,1610,480,1610,BrkFace,TA,RFn,Normal
101,6,1732,476,741,BrkFace,Gd,Fin,Normal
102,5,1535,410,0,None,TA,Unf,Alloca
103,7,1226,740,1226,None,Gd,RFn,Normal
104,7,1818,240,1040,BrkFace,TA,Unf,Normal
105,8,1992,648,1053,BrkFace,Ex,RFn,Normal
106,4,1047,273,641,None,Fa,Unf,Normal
107,5,789,250,789,None,TA,Unf,Partial
108,5,1517,0,793,None,TA,Unf,Normal
109,6,1844,546,1844,BrkFace,Gd,RFn,Normal
110,6,1855,325,994,None,TA,Unf,Normal
111,7,1430,400,384,None,Gd,Fin,Normal
112,7,2696,792,1264,Stone,Ex,Fin,Partial
113,6,2259,450,1809,BrkFace,Gd,Unf,Abnorml
114,6,2320,180,1028,None,TA,Unf,Normal
115,6,1458,440,729,BrkFace,Gd,Unf,Normal
116,5,1092,288,1092,BrkFace,TA,Unf,Normal
117,5,1125,430,1125,None,Gd,Unf,Partial
118,7,3222,594,1673,None,Gd,Unf,Normal
119,6,1456,390,728,None,Gd,Fin,Partial
120,6,988,540,938,None,TA,Unf,Normal
121,4,1123,264,732,None,TA,Unf,Normal
122,6,1080,288,1080,BrkFace,TA,Unf,Normal
123,6,1199,530,1199,None,Gd,RFn,Normal
124,6,1586,435,1362,None,Gd,Unf,Normal
125,6,754,0,520,None,TA,Unf,Normal
126,6,958,440,1078,None,Gd,RFn,Normal
127,5,840,0,672,None,TA,Unf,Normal
128,6,1348,453,660,BrkFace,TA,RFn,Normal
129,5,1053,750,1008,BrkFace,TA,RFn,Abnorml
130,7,2157,487,924,BrkFace,TA,Fin,Normal
131,6,2054,390,992,BrkFace,Gd,RFn,Normal
132,5,1327,624,1063,None,TA,Unf,Normal
133,8,1296,471,1267,BrkFace,Ex,Fin,Normal
134,5,1721,440,1461,None,TA,RFn,Normal
135,7,1682,530,1304,BrkFace,TA,Unf,Normal
136,5,1214,318,1214,BrkFace,TA,RFn,Normal
137,7,1959,766,1907,BrkFace,TA,Unf,Family
138,8,1852,660,1004,BrkFace,Gd,Fin,Normal
139,6,1764,470,928,None,Gd,RFn,Normal
140,4,864,0,864,None,TA,Unf,Normal
141,7,1734,660,1734,None,Gd,Fin,Normal
142,5,1385,720,910,None,TA,Unf,Normal
143,7,1501,577,1490,BrkFace,Gd,RFn,Normal
144,5,1728,504,1728,BrkFace,TA,Unf,Abnorml
145,6,1709,380,970,Stone,Gd,Unf,Normal
146,5,875,180,715,None,TA,Unf,Normal
147,7,2035,434,884,BrkFace,Gd,Fin,Normal
148,7,1080,0,1080,BrkFace,Gd,Unf,Normal
149,5,1344,240,896,None,Gd,Unf,Normal
150,5,969,440,969,None,TA,Unf,Normal
151,8,1710,866,1710,Stone,Ex,RFn,Partial
152,6,1993,495,825,BrkFace,TA,RFn,Normal
153,6,1252,564,1602,None,Gd,RFn,Normal
154,6,1200,312,1200,None,TA,Unf,Family
155,6,1096,0,572,None,TA,Unf,Normal
156,5,1040,625,0,None,TA,Unf,Normal
157,8,1968,680,774,BrkFace,Ex,Fin,Partial
158,7,1947,678,991,None,Gd,RFn,Normal
159,7,2462,576,1392,BrkFace,Gd,RFn,Partial
160,6,1232,516,1232,None,Gd,Unf,Normal
161,9,2668,726,1572,BrkFace,Ex,Fin,Normal
162,7,1541,532,1541,BrkFace,Gd,RFn,Partial
163,4,882,0,882,None,TA,Unf,Normal
164,6,1616,216,1149,None,TA,Unf,Normal
165,5,1355,0,644,None,TA,Unf,Normal
166,5,1867,303,1617,None,TA,Fin,Normal
167,8,2161,789,1582,Stone,Ex,Fin,Partial
168,7,1720,440,840,None,Gd,Fin,Normal
169,8,1707,511,1686,BrkFace,Gd,RFn,Normal
170,5,1382,660,720,None,TA,Unf,Normal
171,6,1656,528,1080,Stone,TA,Fin,Normal
172,7,1767,504,1064,None,Gd,RFn,Normal
173,6,1362,504,1362,BrkCmn,TA,Unf,Normal
174,6,1651,616,1606,Stone,Gd,Fin,Normal
175,6,2158,576,1202,None,TA,Unf,Normal
176,6,2060,521,1151,BrkFace,Gd,Unf,Normal
177,5,1920,451,1052,None,TA,Unf,Normal
178,9,2234,1166,2216,Stone,Ex,Fin,Partial
179,5,968,480,968,None,TA,Unf,Normal
180,6,1525,440,756,BrkFace,Gd,Unf,Normal
181,7,1802,216,793,None,Fa,Unf,Normal
182,5,1340,252,0,BrkFace,TA,RFn,Normal
183,7,2082,484,1362,None,Gd,Unf,Normal
184,5,1252,576,504,None,Fa,Unf,Normal
185,10,3608,840,1107,None,TA,Unf,Normal
186,7,1217,497,1188,None,Gd,Unf,Normal
187,5,1656,180,660,None,Fa,Unf,Normal
188,5,1224,528,1086,Stone,Gd,Unf,Alloca
189,8,1593,682,1593,None,Ex,Fin,Normal
190,8,2727,440,853,None,Gd,Unf,Normal
191,7,1479,484,725,BrkFace,TA,Fin,Normal
192,7,1431,666,1431,None,Gd,Fin,Normal
193,7,1709,380,970,Stone,Gd,Unf,Normal
194,5,864,352,864,None,TA,Unf,Normal
195,6,1456,440,855,None,Gd,Unf,Normal
196,7,1726,786,1726,Stone,Ex,Fin,Partial
197,8,3112,795,1360,None,TA,Unf,Abnorml
198,6,2229,0,755,None,TA,Unf,Abnorml
199,8,1713,856,1713,BrkFace,Ex,Fin,Normal
200,4,1121,440,1121,None,Gd,RFn,Normal
201,6,1279,473,1196,None,TA,Unf,Normal
202,6,1310,398,617,None,Fa,Unf,Normal
203,6,848,420,848,BrkFace,Gd,RFn,Normal
204,5,1284,240,720,None,TA,Unf,Normal
205,7,1442,500,1424,None,Gd,RFn,Normal
206,5,1696,349,1140,None,TA,RFn,Normal
207,4,1100,312,1100,None,TA,RFn,Normal
208,7,2062,454,1157,BrkFace,Gd,Fin,Normal
209,6,1092,504,1092,Stone,Gd,RFn,Normal
210,5,864,0,864,None,TA,Unf,Normal
211,6,1212,460,1212,None,Gd,RFn,Normal
212,7,1852,644,900,None,Gd,RFn,Partial
213,5,990,576,990,None,Gd,Unf,Normal
214,6,1392,299,689,BrkFace,Gd,Fin,Normal
215,5,1236,447,1070,BrkFace,TA,Unf,Normal
216,7,1436,484,1436,BrkFace,Gd,Unf,Normal
217,4,1328,210,686,None,TA,Unf,Family
218,7,1954,431,798,BrkFace,TA,Unf,Normal
219,7,1248,438,1248,BrkFace,Gd,Fin,Partial
220,7,1498,675,1498,None,Gd,RFn,Partial
221,6,2267,390,1010,None,Gd,RFn,Normal
222,6,1552,434,713,None,Gd,RFn,Normal
223,4,864,576,864,None,TA,Unf,Abnorml
224,10,2392,968,2392,BrkFace,Ex,Fin,Normal
225,5,1302,280,630,BrkFace,TA,Unf,Abnorml
226,7,2520,721,1203,BrkFace,Gd,RFn,Abnorml
227,6,987,280,483,BrkFace,TA,Unf,Normal
228,5,912,336,912,None,TA,Unf,Normal
229,7,1555,430,1373,BrkFace,Gd,Fin,Normal
230,6,1194,312,1194,BrkFace,TA,RFn,Normal
231,8,2794,810,1462,BrkFace,Gd,Fin,Normal
232,6,987,288,483,BrkFace,TA,Unf,Normal
233,5,894,308,894,None,TA,Unf,Normal
234,6,1960,440,860,None,Gd,Fin,Normal
235,6,987,264,483,BrkFace,TA,Unf,Normal
236,7,1414,494,1414,BrkFace,Gd,RFn,Normal
237,7,1744,457,996,None,Gd,RFn,Normal
238,8,1694,818,1694,BrkFace,Ex,Fin,Partial
239,6,1487,220,735,None,TA,Unf,Normal
240,8,1566,750,1566,Stone,Gd,RFn,Normal
241,5,866,0,686,None,TA,Unf,Normal
242,5,1440,352,540,None,TA,Unf,Normal
243,6,1217,288,626,None,Gd,RFn,Normal
244,7,2110,463,948,None,Gd,RFn,Normal
245,7,1872,604,1845,BrkFace,Gd,Fin,Normal
246,6,1928,440,1020,None,Fa,Unf,Normal
247,6,1375,451,1367,None,TA,Unf,Normal
248,7,1668,500,840,BrkFace,Gd,RFn,Normal
249,6,2144,389,1444,BrkCmn,Gd,Fin,Normal
250,3,1306,0,728,None,TA,Unf,Normal
251,8,1625,538,1573,Stone,Gd,Fin,Family
252,6,1640,520,798,None,Gd,RFn,Normal
253,6,1302,309,1302,BrkFace,Gd,RFn,Normal
254,5,1314,294,1314,None,TA,RFn,Normal
255,7,2291,429,975,BrkFace,Gd,Fin,Normal
256,6,1728,673,864,None,Gd,RFn,Normal
257,7,1604,660,1604,Stone,Gd,RFn,Abnorml
258,7,1792,564,963,BrkFace,Gd,RFn,Normal
259,5,882,308,0,None,TA,Unf,Normal
260,6,1382,884,1362,BrkFace,TA,Unf,Normal
261,8,2574,868,1482,Stone,Ex,Fin,Partial
262,6,1212,492,506,BrkFace,Gd,Unf,Normal
263,5,1316,484,926,None,TA,Unf,Normal
264,5,764,504,680,None,Fa,Unf,Normal
265,6,1422,576,1422,BrkFace,Gd,Fin,Normal
266,6,1511,413,802,None,Gd,Fin,Normal
267,5,2192,240,720,None,TA,Unf,Normal
268,5,778,924,740,None,TA,Fin,Normal
269,6,1113,504,1143,BrkFace,TA,RFn,Normal
270,8,1939,1053,1095,None,Gd,RFn,Partial
271,7,1363,439,1385,None,Gd,Unf,Normal
272,8,2270,671,1152,BrkFace,Gd,Fin,Normal
273,6,1632,338,1240,BrkCmn,TA,RFn,Normal
274,5,816,264,816,None,TA,Unf,Normal
275,7,1548,672,952,None,TA,Unf,Normal
276,7,1560,573,1560,None,Ex,Fin,Normal
277,4,864,400,864,None,TA,Unf,Normal
278,9,2121,732,2121,BrkFace,Ex,Fin,Partial
279,7,2022,505,1160,BrkFace,Gd,Fin,Normal
280,7,1982,575,807,BrkFace,Gd,Fin,Normal
281,6,1262,572,1262,Stone,Gd,Fin,Partial
282,7,1314,626,1314,Stone,Gd,RFn,Normal
283,8,1468,898,1468,Stone,Gd,Fin,Partial
284,6,1575,529,1575,None,Gd,RFn,Normal
285,7,1250,528,625,None,Gd,RFn,Partial
286,6,1734,440,912,None,TA,RFn,Normal
287,4,858,0,858,None,TA,Unf,Normal
288,5,900,280,882,BrkFace,TA,Unf,Normal
289,6,1396,384,698,None,TA,Unf,Normal
290,8,1919,685,1079,None,Gd,RFn,Partial
291,5,1716,0,780,None,TA,Unf,Normal
292,5,1716,281,768,None,TA,Unf,Normal
293,7,2263,539,795,BrkFace,TA,Fin,Normal
294,6,1644,418,1416,Stone,TA,Fin,Normal
295,6,1003,588,1003,None,TA,Unf,Normal
296,5,1558,282,910,None,TA,Unf,Normal
297,7,1950,576,975,BrkFace,Gd,RFn,Normal
298,6,1743,539,702,BrkFace,TA,Unf,Normal
299,6,1152,300,1092,None,TA,Unf,Family
300,5,1336,375,1165,BrkFace,TA,Unf,Normal
301,8,2452,683,1028,None,Gd,Fin,Normal
302,7,1541,843,1541,BrkFace,Gd,RFn,Normal
303,5,894,552,894,None,TA,Unf,Abnorml
304,7,3493,870,1470,None,TA,Unf,Normal
305,8,2000,888,2000,Stone,Gd,Fin,Normal
306,7,2243,746,700,BrkFace,Gd,RFn,Normal
307,6,1406,0,319,None,TA,Unf,Normal
308,4,861,539,861,None,TA,Unf,Normal
309,9,1944,708,1896,None,Ex,Fin,Normal
310,6,1501,420,697,BrkFace,Gd,Fin,Normal
311,6,972,240,972,None,TA,Unf,Normal
312,5,1118,410,793,None,Gd,Unf,Normal
313,7,2036,513,2136,None,Gd,RFn,Normal
314,7,1641,546,728,None,TA,Unf,Normal
315,7,1432,432,716,None,Gd,Fin,Normal
316,7,2353,484,845,BrkFace,Gd,RFn,Normal
317,8,1959,1025,1088,None,Gd,RFn,Normal
318,7,2646,656,1347,BrkFace,Gd,RFn,Normal
319,7,1472,588,1372,BrkFace,Gd,Unf,Normal
320,9,2596,840,1249,Stone,Ex,RFn,Partial
321,8,2468,872,1136,BrkFace,Ex,Fin,Normal
322,7,2730,576,1502,BrkFace,TA,Fin,Normal
323,3,1163,220,1162,None,TA,Unf,Normal
324,7,2978,564,710,BrkFace,Gd,Fin,Normal
325,5,803,360,720,None,TA,Unf,Normal
326,8,1719,473,1719,None,Gd,Fin,Normal
327,6,1383,292,1383,BrkFace,TA,RFn,Normal
328,6,2134,441,844,None,TA,Unf,Normal
329,5,1192,189,596,None,TA,Unf,Normal
330,5,1728,352,1728,BrkFace,TA,Unf,Normal
331,5,1056,308,1056,None,TA,RFn,Normal
332,8,1629,880,3206,BrkFace,Gd,RFn,Normal
333,7,1358,484,1358,Stone,Gd,RFn,Normal
334,6,1638,472,943,None,Gd,Fin,Normal
335,5,1786,529,1499,None,TA,Fin,Normal
336,9,1922,676,1922,Stone,Ex,Fin,Normal
337,7,1536,532,1536,BrkFace,Gd,RFn,Normal
338,7,1621,440,1208,None,Gd,RFn,Normal
339,6,1215,297,1215,BrkFace,TA,Unf,Normal
340,8,1908,431,967,None,Gd,Fin,Normal
341,4,841,294,721,None,TA,Unf,Normal
342,3,1040,400,0,BrkFace,TA,Unf,Normal
343,9,1684,564,1684,BrkFace,Ex,RFn,Normal
344,5,1112,336,536,None,Gd,Unf,Normal
345,6,1577,312,972,None,TA,Unf,Normal
346,6,958,301,958,None,TA,RFn,Normal
347,6,1478,498,1478,BrkFace,TA,Unf,Normal
348,7,1626,474,764,Stone,Gd,RFn,Normal
349,9,2728,706,1848,BrkFace,Ex,Fin,Partial
350,9,1869,617,1869,BrkFace,Ex,RFn,Partial
351,7,1453,445,1453,None,Gd,RFn,Abnorml
352,5,1111,200,616,None,TA,Unf,Normal
353,6,720,484,624,None,TA,Unf,Normal
354,6,1595,240,940,None,TA,Unf,Normal
355,6,1200,521,1200,None,Gd,RFn,Normal
356,6,1167,400,1158,BrkFace,Gd,RFn,Normal
357,5,1142,528,1142,None,Gd,Fin,Normal
358,5,1352,288,1062,BrkFace,TA,Unf,Abnorml
359,8,1924,592,1086,BrkFace,Gd,RFn,Normal
360,6,912,470,888,None,Gd,RFn,Normal
361,5,1505,240,883,None,TA,Unf,Normal
362,7,1922,672,0,BrkFace,TA,RFn,Normal
363,6,987,264,483,BrkFace,TA,Unf,Normal
364,6,1574,566,796,BrkFace,Gd,Fin,Normal
365,5,1344,468,672,None,TA,Unf,Normal
366,6,1394,514,1394,BrkFace,Gd,RFn,Normal
367,6,1431,296,1099,BrkFace,Gd,RFn,Normal
368,5,1268,244,1268,BrkFace,TA,Fin,Normal
369,5,1287,576,1063,None,TA,Fin,Normal
370,6,1664,460,953,None,Gd,RFn,Normal
371,4,1588,680,0,None,TA,Fin,Normal
372,6,752,264,744,None,Gd,Unf,Normal
373,5,1319,270,608,None,TA,Unf,Normal
374,7,1928,434,847,None,Gd,Fin,Normal
375,1,904,0,683,None,Fa,Unf,Normal
376,5,914,576,870,None,Gd,Unf,Normal
377,8,2466,610,1580,None,Gd,RFn,Normal
378,9,1856,834,1856,Stone,Ex,Fin,Partial
379,6,1800,463,982,BrkFace,Gd,Fin,Normal
380,5,1691,308,1026,None,TA,Unf,Normal
381,7,1301,572,1293,None,Gd,RFn,Partial
382,7,1797,639,939,None,Gd,RFn,Normal
383,6,784,360,784,None,Fa,Unf,Normal
384,6,1953,501,1580,None,Gd,Fin,Normal
385,8,1269,430,1256,BrkFace,Gd,Fin,Normal
386,5,1184,0,658,None,TA,Unf,AdjLand
387,6,1125,352,1041,BrkFace,TA,Unf,Abnorml
388,7,1479,577,1468,BrkFace,Gd,RFn,Normal
389,10,2332,846,1682,Stone,Ex,Fin,Partial
390,5,1367,384,861,None,TA,Unf,Normal
391,6,1961,560,804,None,Ex,Fin,Normal
392,5,882,294,0,None,TA,RFn,Normal
393,4,788,0,788,None,TA,Unf,Abnorml
394,5,1034,240,735,None,TA,Unf,Normal
395,5,1144,596,1144,None,TA,Unf,Normal
396,5,894,600,894,None,TA,RFn,Normal
397,5,1812,264,864,BrkFace,TA,RFn,Normal
398,5,1077,338,961,None,Fa,Unf,Abnorml
399,7,1550,438,1092,Stone,Gd,Fin,Normal
400,8,1288,500,1260,None,Gd,Fin,Normal
401,7,1310,400,1310,None,Gd,Fin,Partial
402,5,672,240,672,None,TA,Unf,Normal
403,8,2263,420,1141,BrkFace,Gd,Fin,Abnorml
404,6,1572,373,806,None,Gd,Fin,Normal
405,4,1620,490,1281,None,TA,Unf,Normal
406,6,1639,240,1064,None,TA,Unf,Normal
407,6,1680,308,840,None,Gd,Unf,Normal
408,7,2172,947,1063,BrkFace,Ex,RFn,Partial
409,8,2078,836,1034,Stone,Ex,Fin,Partial
410,5,1276,350,1276,None,TA,Unf,Abnorml
411,5,1056,572,1056,None,TA,Fin,Normal
412,7,1478,484,1470,Stone,Ex,Fin,Partial
413,5,1028,360,1008,None,TA,Unf,Normal
414,7,2097,678,1080,None,Gd,Unf,Normal
415,7,1340,396,1340,None,Gd,Fin,Partial
416,6,1400,440,672,BrkFace,TA,Fin,Normal
417,6,2624,864,1370,None,Gd,Unf,Normal
418,5,1134,240,756,None,TA,Unf,AdjLand
419,5,1056,304,1056,None,TA,Unf,Normal
420,7,1344,784,1344,BrkFace,Gd,Fin,Alloca
421,6,1602,529,1602,Stone,Gd,Fin,Normal
422,5,988,520,988,None,TA,RFn,Normal
423,8,2630,696,1470,BrkFace,Gd,Fin,Normal
424,6,1196,297,1196,BrkFace,Gd,RFn,Normal
425,7,1389,240,651,None,TA,Unf,Normal
426,7,1644,569,1518,BrkFace,Gd,Fin,Normal
427,4,907,352,907,None,TA,Unf,Normal
428,7,1208,628,1208,BrkFace,Gd,RFn,Partial
429,6,1412,576,1392,None,Gd,Unf,Normal
430,6,987,264,483,BrkFace,TA,Unf,Abnorml
431,6,1198,0,901,None,TA,Unf,Abnorml
432,5,1365,440,765,BrkFace,TA,Unf,Normal
433,6,1604,470,926,None,Gd,Fin,Normal
434,4,630,0,630,None,Gd,Unf,Normal
435,7,1661,550,799,None,Gd,RFn,Normal
436,6,1118,440,648,None,Fa,Unf,Normal
437,6,904,180,884,None,TA,Unf,Normal
438,5,694,352,440,None,TA,Unf,Normal
439,6,1196,528,684,None,TA,Unf,Normal
440,10,2402,672,3094,Stone,Ex,Fin,Normal
441,4,1440,0,1440,BrkFace,TA,Unf,Normal
442,5,1573,360,1078,None,TA,Unf,Normal
443,7,1258,648,1258,BrkFace,Ex,Fin,Partial
444,7,1908,493,915,None,Gd,Unf,Normal
445,6,1689,480,1436,None,TA,Unf,Normal
446,6,1888,578,1517,None,TA,Fin,Normal
447,7,1886,431,930,None,Gd,Fin,Normal
448,6,1376,198,780,None,TA,Unf,Normal
449,3,1183,308,649,None,TA,Unf,Normal
450,6,813,270,813,None,TA,Unf,Normal
451,7,1533,576,1533,None,Gd,Unf,Normal
452,6,1756,422,872,BrkFace,Ex,Fin,Normal
453,8,1590,676,768,None,Gd,RFn,Normal
454,5,1728,560,1728,None,TA,Unf,Family
455,7,1242,528,1242,BrkFace,TA,Unf,Normal
456,5,1344,513,624,None,TA,Unf,Abnorml
457,4,1663,529,1364,None,Gd,Fin,Normal
458,8,1666,228,588,None,TA,Unf,Normal
459,5,1203,352,709,BrkCmn,TA,Unf,Normal
460,8,1935,552,832,Stone,Gd,Fin,Partial
461,7,1135,576,560,None,Gd,RFn,Normal
462,5,864,360,864,None,TA,Unf,Normal
463,6,1660,240,715,None,TA,Unf,Normal
464,5,1040,0,1040,BrkFace,Gd,Unf,Normal
465,7,1414,398,1375,BrkFace,Gd,Fin,Normal
466,7,1277,526,1277,None,TA,Unf,Normal
467,5,1644,312,728,Stone,TA,Unf,Normal
468,8,1634,866,1626,Stone,Gd,RFn,Normal
469,6,1710,506,832,BrkFace,Gd,RFn,Normal
470,8,1502,528,1488,None,Gd,RFn,Normal
471,7,1969,534,808,None,Gd,RFn,Normal
472,6,1072,525,547,BrkFace,Gd,RFn,Normal
473,8,1976,908,1976,BrkFace,Ex,RFn,Partial
474,8,1652,499,1494,None,Gd,RFn,Normal
475,5,970,624,970,None,TA,Unf,Normal
476,6,1493,508,1478,BrkFace,Gd,Fin,Normal
477,9,2643,694,2153,BrkFace,Gd,Fin,Normal
478,8,1718,826,1705,Stone,Ex,RFn,Normal
479,4,1131,672,907,BrkCmn,Fa,Unf,Alloca
480,9,1850,772,1833,BrkFace,Ex,Fin,Normal
481,9,1792,874,1792,BrkFace,Ex,Fin,Normal
482,7,1826,164,910,None,TA,Unf,Normal
483,6,1216,402,1216,BrkFace,Ex,Unf,Normal
484,5,999,264,999,None,TA,Unf,Normal
485,5,1113,264,1113,None,TA,Unf,Normal
486,5,1073,515,1073,BrkFace,TA,RFn,Normal
487,5,1484,487,1484,None,Gd,Unf,Normal
488,5,2414,520,954,None,TA,Unf,Normal
489,4,630,286,630,None,Gd,Unf,Normal
490,5,1304,336,264,None,Gd,Fin,Normal
491,6,1578,240,806,None,TA,Unf,Normal
492,6,1456,429,728,None,Gd,RFn,Partial
493,5,1269,308,1269,None,TA,Unf,Normal
494,5,886,273,190,None,Fa,Unf,Normal
495,4,720,0,720,None,TA,Unf,Abnorml
496,8,3228,546,3200,None,Gd,RFn,Normal
497,7,1820,240,1026,None,TA,Unf,Normal
498,5,899,288,864,BrkFace,TA,Fin,Normal
499,5,912,297,912,None,TA,Fin,Normal
500,6,1218,264,672,BrkFace,TA,Unf,Normal
501,7,1768,603,866,None,Gd,RFn,Normal
502,5,1214,461,1214,None,TA,Unf,Normal
503,7,1801,484,1501,None,TA,Fin,Normal
504,6,1322,440,855,None,TA,Unf,Normal
505,5,1960,400,960,BrkFace,TA,Unf,Normal
506,8,1911,471,777,BrkFace,Gd,RFn,Normal
507,6,1218,676,1218,None,Gd,Fin,Partial
508,7,1378,360,689,None,TA,Unf,Normal
509,5,1041,270,1041,BrkFace,TA,RFn,Normal
510,5,1363,288,1008,BrkCmn,TA,Unf,Normal
511,7,1368,474,1368,Stone,Gd,RFn,Partial
512,5,864,624,864,None,TA,Unf,Normal
513,6,1080,484,1084,None,TA,Unf,Normal
514,5,789,200,768,None,TA,Unf,Normal
515,10,2020,900,2006,BrkFace,Ex,Fin,Partial
516,6,2119,583,689,BrkFace,TA,RFn,Abnorml
517,7,2344,889,1264,BrkFace,Gd,RFn,Normal
518,6,1796,546,794,None,Gd,RFn,Normal
519,7,2080,282,1276,None,Gd,Unf,Normal
520,4,1294,0,0,None,TA,Unf,Normal
521,6,1244,336,1244,None,TA,Unf,Normal
522,6,1664,420,1004,None,TA,Unf,Normal
